Theta_deg,Volume_m3,Pressure_Pa,Turbulence_k,BurnFraction_xb,EndGas_Temperature_K,EndGas_Pressure_Pa,KnockIntegral_KI,KnockDetected,KnockTheta_deg
-92,0.00034033128785539136,187892.29291758465,0.0,0.0,353.29272165574474,187892.29291758465,1.4463685001117696e-23,False,
-91,0.00033600934263716513,191162.26776777295,159.0579902007864,0.0,354.8766084050126,191162.26776777295,1.823839568426763e-23,False,
-90,0.000331662098328926,194552.63220506106,0.0,0.0,356.4977572401492,194552.63220506106,2.3087782773376884e-23,False,
-89,0.00032729086709595677,198068.65543672242,159.15494309189535,0.0,358.1570358293608,198068.65543672242,2.934049432103458e-23,False,
-88,0.0003228969925050821,201715.88524199257,0.0,0.0,359.8553364751594,201715.88524199257,3.743205830778425e-23,False,
-87,0.00031848184909526216,205500.1646861283,159.0579902007864,0.0,361.5935768506136,205500.1646861283,4.794157730631321e-23,False,
-86,0.0003140468418985226,209427.64993776643,0.0,0.0,363.372700752874,209427.64993776643,6.164164784604931e-23,False,
-85,0.00030959340591153636,213504.82926570807,158.76724964962293,0.0,365.19367887295806,213504.82926570807,7.956648464154041e-23,False,
-84,0.0003051230055183052,217738.54329634225,0.0,0.0,367.0575095805123,217738.54329634225,1.0310518193009696e-22,False,
-83,0.0003006371338645049,222136.00661829175,158.2830756609814,0.0,368.9652197219656,222136.00661829175,1.341297900339705e-22,False,
-82,0.000296137312184195,226704.83082646763,0.0,0.0,370.91786543013603,226704.83082646763,1.7517175879874061e-22,False,
-81,0.0002916250890797032,231453.0491035981,157.60605812628572,0.0,372.9165329429576,231453.0491035981,2.2966577952053788e-22,False,
-80,0.00028710203975561895,236389.14244338617,0.0,0.0,374.96233942853246,236389.14244338617,3.022878316965913e-22,False,
-79,0.00028256976520794246,241522.0676257562,156.73702188711528,0.0,377.05643381320095,241522.0676257562,3.994253026983751e-22,False,
-78,0.0002780298913695443,246861.28706111936,0.0,0.0,379.1999976087243,246861.28706111936,5.298328314752261e-22,False,
-77,0.0002734840682131946,252416.80062717694,155.67702573026278,0.0,381.39424573400385,252416.80062717694,7.055501099815924e-22,False,
-76,0.0002689339688135198,258199.17962842123,0.0,0.0,383.6404273259982,258199.17962842123,9.431902777099458e-22,False,
-75,0.00026438128836933996,264219.60301509924,154.42736109776547,0.0,385.93982653362184,264219.60301509924,1.2657541636383002e-21,False,
-74,0.0002598277431879196,270489.89600487426,0.0,0.0,388.2937632874324,270489.89600487426,1.7051928883536128e-21,False,
-73,0.00025527506963275633,277022.5712565927,152.98955051348193,0.0,390.7035940367813,277022.5712565927,2.3060386383645935e-21,False,
-72,0.00025072502303659226,283830.87275130354,0.0,0.0,393.1707124448439,283830.87275130354,3.130564560321169e-21,False,
-71,0.0002461793765814104,290928.8225407183,151.3653457281314,0.0,395.6965500304981,290928.8225407183,4.266139987579107e-21,False,
-70,0.00024163992014723177,298331.270527424,0.0,0.0,398.282576744392,298331.270527424,5.835746524491629e-21,False,
-69,0.00023710845913158045,306053.9474440105,149.55672558505523,0.0,400.9303014647018,306053.9474440105,8.013058088832659e-21,False,
